"id","name","symbol","rank","price_usd","price_btc","24h_volume_usd","market_cap_usd","available_supply","total_supply","max_supply","percent_change_1h","percent_change_24h","percent_change_7d","last_updated","mentions","rating"
"stellar","Stellar","XLM","8","0.631586","0.00004177","246968000.0","11292820259.0","17880099083.0","103590302054",,"-1.39","-6.84","25.46","1515476943",8,-12313133
"tron","TRON","TRX","10","0.148745","0.00000984","1374610000.0","9779714890.0","65748192475.0","100000000000",,"-1.56","-13.57","159.16","1515476954",4,-12619028
"bitcoin","Bitcoin","BTC","1","15168.5","1.0","18289700000.0","254695223947","16791062.0","16791062.0","21000000.0","-2.04","-5.44","10.97","1515476961",23,-31200346
"litecoin","Litecoin","LTC","7","253.521","0.0167684","1109830000.0","13861624009.0","54676433.0","54676433.0","84000000.0","-1.48","-6.02","3.6","1515476941",24,-36615193
"walton","Walton","WTC","100","14.8749","0.00098386","37521500.0","370357908.0","24898178.0","70000000.0","100000000.0","-1.81","-11.29","27.01","1515476953",14,-43905551
"iota","IOTA","MIOTA","9","3.8047","0.00025165","294765000.0","10575278868.0","2779530283.0","2779530283.0","2779530283.0","-2.4","-5.75","-5.74","1515476951",51,-78719478
"poet","Po.et","POE","96","0.172151","0.00001139","34919200.0","378147159.0","2196601583.0","3141592653.0",,"-2.98","-10.83","83.98","1515476954",34,-106515400
"raiblocks","RaiBlocks","XRB","19","25.7144","0.0017008","40477800.0","3426399808.0","133248289.0","133248289.0","133248290.0","-2.32","-3.55","-23.34","1515476950",104,-119930718
"ripple","Ripple","XRP","3","2.35425","0.00015572","3318790000.0","91201631756.0","38739144847.0","99993093880.0","100000000000","-3.51","-13.85","2.14","1515476965",40,-132161183


"dent","Dent","DENT","43","0.103247","0.00000694","99616300.0","1095942225.0","10614760961.0","100000000000",,"-2.53","53.97","392.01","1515502752",25,272804322
"ark","Ark","ARK","48","9.29106","0.00062453","39589300.0","910349989.0","97981284.0","129231284.0",,"-2.26","18.58","14.52","1515502749",70,261146162
"funfair","FunFair","FUN","54","0.18509","0.00001244","134543000.0","786609109.0","4249873622.0","10999873621.0",,"-0.26","19.74","106.27","1515502751",54,239255857
"neo","NEO","NEO","12","117.369","0.00788938","371936000.0","7628985000.0","65000000.0","100000000.0",,"-2.12","16.57","30.93","1515502747",54,160559507
"gamecredits","GameCredits","GAME","91","6.60068","0.00044369","27932100.0","424789085.0","64355352.0","64355352.0",,"7.67","32.25","43.35","1515502743",10,89668928
"deepbrain-chain","DeepBrain Chain","DBC","78","0.546169","0.00003671","50167200.0","491552100.0","900000000.0","10000000000.0","10000000000.0","-0.13","46.01","292.58","1515502758",5,51719722
"icon","ICON","ICX","15","11.7702","0.00079118","257505000.0","4455550418.0","378545005.0","400230000.0",,"0.19","15.12","82.43","1515502755",12,39061605
"monacoin","MonaCoin","MONA","73","9.78564","0.00065778","21259000.0","553837621.0","56596975.0","56596975.0",,"-1.51","22.29","-7.01","1515502742",5,24797198
"ethereum","Ethereum","ETH","2","1214.94","0.0816667","7641870000.0","117690882809","96869708.0","96869708.0",,"-1.28","6.99","37.36","1515502749",13,12592674
"gas","Gas","GAS","74","58.5354","0.00393467","26070800.0","534872006.0","9137582.0","13802656.0","100000000.0","-0.42","16.53","67.09","1515502752",3,11488130
"binance-coin","Binance Coin","BNB","30","18.2371","0.00122588","287243000.0","1805728219.0","99014000.0","199013968.0",,"-2.14","3.73","112.14","1515502752",2,468001
"raiblocks","RaiBlocks","XRB","19","26.9293","0.00181016","39407100.0","3588283155.0","133248289.0","133248289.0","133248290.0","-1.7","-0.93","-16.06","1515502749",5,-1139165
"bitcoin","Bitcoin","BTC","1","14837.8","1.0","18011000000.0","249152064314","16791712.0","16791712.0","21000000.0","-0.92","-3.7","6.89","1515502761",5,-2879739
"dogecoin","Dogecoin","DOGE","31","0.0149309","0.00000100","192739000.0","1682572614.0","112690635817","112690635817",,"0.28","-6.23","60.79","1515502741",5,-7169035
"chainlink","ChainLink","LINK","89","1.22418","0.00008229","17101200.0","428463000.0","350000000.0","1000000000.0",,"-2.53","-0.2","78.21","1515502753",29,-14664113
"stellar","Stellar","XLM","8","0.624199","0.00004196","229727000.0","11160751453.0","17880117483.0","103590302054",,"-1.39","-2.98","13.97","1515502743",23,-15025010
"tron","TRON","TRX","10","0.142173","0.00000956","1232090000.0","9347617769.0","65748192475.0","100000000000",,"-2.91","-10.97","114.26","1515502753",10,-26951111
"dentacoin","Dentacoin","DCN","34","0.00481495","0.00000032","18283800.0","1565774628.0","325190215376","1841395638392","8000000000000","-2.67","-15.24","833.39","1515502753",16,-67132210
"iota","IOTA","MIOTA","9","3.67491","0.00024702","286498000.0","10214523632.0","2779530283.0","2779530283.0","2779530283.0","-0.89","-6.34","-10.67","1515502751",66,-87226148
"ripple","Ripple","XRP","3","2.28074","0.00015331","3687240000.0","88353917218.0","38739144847.0","99993093880.0","100000000000","-2.71","-9.46","-3.94","1515502740",68,-152622196


"dent","Dent","DENT","43","0.103434","0.00000695","96924100.0","1097927185.0","10614760961.0","100000000000",,"-2.02","54.07","391.07","1515503053",27,299760265
"ark","Ark","ARK","49","9.27844","0.00062382","38838600.0","909113465.0","97981284.0","129231284.0",,"-1.35","18.35","14.48","1515503049",68,268927883
"funfair","FunFair","FUN","54","0.18515","0.00001245","134679000.0","786864101.0","4249873622.0","10999873621.0",,"-0.39","20.09","106.37","1515503051",56,260568401
"neo","NEO","NEO","12","117.457","0.00789707","372655000.0","7634705000.0","65000000.0","100000000.0",,"-2.14","16.94","31.01","1515503048",54,160554219
"deepbrain-chain","DeepBrain Chain","DBC","78","0.546913","0.00003677","50226500.0","492221700.0","900000000.0","10000000000.0","10000000000.0","-0.4","46.59","293.61","1515503058",7,72402685
"gamecredits","GameCredits","GAME","91","6.60173","0.00044386","28553700.0","424856658.0","64355352.0","64355352.0",,"6.86","32.3","43.26","1515503044",8,70046211
"icon","ICON","ICX","15","11.7146","0.00078761","257570000.0","4434503316.0","378545005.0","400230000.0",,"-0.48","14.54","81.58","1515503055",12,36551363
"monacoin","MonaCoin","MONA","73","9.80147","0.00065899","21245700.0","554733552.0","56596975.0","56596975.0",,"-1.38","22.63","-6.89","1515503042",5,24795208
"ethereum","Ethereum","ETH","2","1217.16","0.081834","7656780000.0","117905933560","96869708.0","96869708.0",,"-1.17","7.36","37.59","1515503050",14,16232721
"gas","Gas","GAS","75","58.0404","0.00390225","25960800.0","530348903.0","9137582.0","13802656.0","100000000.0","-1.21","15.54","65.7","1515503051",2,6735875
"binance-coin","Binance Coin","BNB","30","18.3206","0.00123175","288052000.0","1813995888.0","99014000.0","199013968.0",,"-1.37","4.29","113.05","1515503052",2,1396759
"raiblocks","RaiBlocks","XRB","19","26.7607","0.00179922","39522600.0","3565817493.0","133248289.0","133248289.0","133248290.0","-2.16","-0.74","-16.48","1515503049",3,-1370833
"bitcoin","Bitcoin","BTC","1","14893.7","1.0","18038600000.0","250090721014","16791712.0","16791712.0","21000000.0","-0.61","-3.24","7.21","1515503061",10,-5758654
"dogecoin","Dogecoin","DOGE","31","0.0149273","0.00000100","192635000.0","1682166928.0","112690635817","112690635817",,"0.01","-6.1","60.7","1515503041",5,-7169116
"chainlink","ChainLink","LINK","89","1.22459","0.00008233","17113300.0","428606500.0","350000000.0","1000000000.0",,"-2.47","-0.16","78.28","1515503053",29,-14663866
"tron","TRON","TRX","10","0.1426","0.00000959","1232970000.0","9375692247.0","65748192475.0","100000000000",,"-2.33","-10.23","114.6","1515503054",6,-16168554
"stellar","Stellar","XLM","8","0.623778","0.00004194","229799000.0","11153223923.0","17880117483.0","103590302054",,"-1.47","-2.85","13.82","1515503043",25,-16332009
"dentacoin","Dentacoin","DCN","33","0.00484139","0.00000033","18184800.0","1574372657.0","325190215376","1841395638392","8000000000000","-2.05","-14.81","838.84","1515503053",17,-66934841
"iota","IOTA","MIOTA","9","3.6817","0.00024753","286683000.0","10233396643.0","2779530283.0","2779530283.0","2779530283.0","-0.75","-6.04","-10.48","1515503050",68,-89862167
"ripple","Ripple","XRP","3","2.27065","0.00015266","3682410000.0","87963039247.0","38739144847.0","99993093880.0","100000000000","-3.13","-9.81","-4.39","1515503041",70,-171874876


"ark","Ark","ARK","49","9.27844","0.00062382","38838600.0","909113465.0","97981284.0","129231284.0",,"-1.35","18.35","14.48","1515503049",70,276837526
"funfair","FunFair","FUN","54","0.18515","0.00001245","134679000.0","786864101.0","4249873622.0","10999873621.0",,"-0.39","20.09","106.37","1515503051",56,260568401
"dent","Dent","DENT","43","0.103434","0.00000695","96924100.0","1097927185.0","10614760961.0","100000000000",,"-2.02","54.07","391.07","1515503053",23,255351337
